__time,/fmu/out/vehicle_local_position/ax,/fmu/out/vehicle_local_position/ay,/fmu/out/vehicle_local_position/az,/fmu/out/vehicle_local_position/dead_reckoning,/fmu/out/vehicle_local_position/delta_dist_bottom,/fmu/out/vehicle_local_position/delta_heading,/fmu/out/vehicle_local_position/delta_vxy[0],/fmu/out/vehicle_local_position/delta_vxy[1],/fmu/out/vehicle_local_position/delta_vz,/fmu/out/vehicle_local_position/delta_xy[0],/fmu/out/vehicle_local_position/delta_xy[1],/fmu/out/vehicle_local_position/delta_z,/fmu/out/vehicle_local_position/dist_bottom,/fmu/out/vehicle_local_position/dist_bottom_reset_counter,/fmu/out/vehicle_local_position/dist_bottom_sensor_bitfield,/fmu/out/vehicle_local_position/dist_bottom_valid,/fmu/out/vehicle_local_position/dist_bottom_var,/fmu/out/vehicle_local_position/eph,/fmu/out/vehicle_local_position/epv,/fmu/out/vehicle_local_position/evh,/fmu/out/vehicle_local_position/evv,/fmu/out/vehicle_local_position/heading,/fmu/out/vehicle_local_position/heading_good_for_control,/fmu/out/vehicle_local_position/heading_reset_counter,/fmu/out/vehicle_local_position/heading_var,/fmu/out/vehicle_local_position/ref_alt,/fmu/out/vehicle_local_position/ref_lat,/fmu/out/vehicle_local_position/ref_lon,/fmu/out/vehicle_local_position/ref_timestamp,/fmu/out/vehicle_local_position/tilt_var,/fmu/out/vehicle_local_position/timestamp,/fmu/out/vehicle_local_position/timestamp_sample,/fmu/out/vehicle_local_position/unaided_heading,/fmu/out/vehicle_local_position/v_xy_valid,/fmu/out/vehicle_local_position/v_z_valid,/fmu/out/vehicle_local_position/vx,/fmu/out/vehicle_local_position/vxy_reset_counter,/fmu/out/vehicle_local_position/vy,/fmu/out/vehicle_local_position/vz,/fmu/out/vehicle_local_position/vz_reset_counter,/fmu/out/vehicle_local_position/x,/fmu/out/vehicle_local_position/xy_global,/fmu/out/vehicle_local_position/xy_reset_counter,/fmu/out/vehicle_local_position/xy_valid,/fmu/out/vehicle_local_position/y,/fmu/out/vehicle_local_position/z,/fmu/out/vehicle_local_position/z_deriv,/fmu/out/vehicle_local_position/z_global,/fmu/out/vehicle_local_position/z_reset_counter,/fmu/out/vehicle_local_position/z_valid
1764161898.648071,-0.838580370,-0.134984106,0.026229301,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146279335,3.000000000,0.000000000,0.000000000,2.652184963,0.152103528,0.166775584,0.095344007,0.055588271,0.451636136,1.000000000,19.000000000,0.000276052,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000064101,1764161898627613.000000000,1764161898619613.000000000,-2.164284706,1.000000000,1.000000000,-2.952763557,3.000000000,2.627795219,0.047740936,2.000000000,27.942373276,1.000000000,4.000000000,1.000000000,-4.661646843,-10.003309250,0.023324335,1.000000000,3.000000000,1.000000000
1764161898.659967,-0.810452700,-0.135037571,0.036641952,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.145954132,3.000000000,0.000000000,0.000000000,2.654022217,0.152541101,0.167040318,0.095689699,0.055673018,0.453244209,1.000000000,19.000000000,0.000276088,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000064150,1764161898635613.000000000,1764161898627613.000000000,-2.162688017,1.000000000,1.000000000,-2.959328413,3.000000000,2.626817465,0.047954515,2.000000000,27.918596268,1.000000000,4.000000000,1.000000000,-4.640590668,-10.003192902,0.023470398,1.000000000,3.000000000,1.000000000
1764161898.668482,-0.779348612,-0.135332137,0.031341795,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147040367,3.000000000,0.000000000,0.000000000,2.655860424,0.151187539,0.166317582,0.094424374,0.055406425,0.454866052,1.000000000,19.000000000,0.000273673,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063890,1764161898643613.000000000,1764161898635613.000000000,-2.161078691,1.000000000,1.000000000,-2.965543747,3.000000000,2.625863075,0.048097517,2.000000000,27.894870758,1.000000000,4.000000000,1.000000000,-4.619511127,-10.003113747,0.023506368,1.000000000,3.000000000,1.000000000
1764161898.680401,-0.707231581,-0.120248459,0.013753771,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147061348,3.000000000,0.000000000,0.000000000,2.659538746,0.152051881,0.166657895,0.095106788,0.055553265,0.458156675,1.000000000,19.000000000,0.000273746,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063988,1764161898659613.000000000,1764161898651613.000000000,-2.157824516,1.000000000,1.000000000,-2.977128029,3.000000000,2.624129295,0.048191287,2.000000000,27.847282410,1.000000000,4.000000000,1.000000000,-4.577375889,-10.002969742,0.023373038,1.000000000,3.000000000,1.000000000
1764161898.688154,-0.667390227,-0.107627824,0.019995494,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146733284,3.000000000,0.000000000,0.000000000,2.661379099,0.152488917,0.166922420,0.095446445,0.055637188,0.459818810,1.000000000,19.000000000,0.000273783,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000064037,1764161898667613.000000000,1764161898659613.000000000,-2.156181812,1.000000000,1.000000000,-2.982450247,3.000000000,2.623385906,0.048248909,2.000000000,27.823427200,1.000000000,4.000000000,1.000000000,-4.556318760,-10.002885818,0.023332529,1.000000000,3.000000000,1.000000000
1764161898.700849,-0.643724740,-0.110440388,0.021492129,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147805214,3.000000000,0.000000000,0.000000000,2.663220406,0.151137903,0.166201606,0.094187811,0.055371020,0.461491287,1.000000000,19.000000000,0.000271458,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063780,1764161898675613.000000000,1764161898667613.000000000,-2.154529333,1.000000000,1.000000000,-2.987471819,3.000000000,2.622644424,0.048289977,2.000000000,27.799636841,1.000000000,4.000000000,1.000000000,-4.535234451,-10.002837181,0.023237364,1.000000000,3.000000000,1.000000000
1764161898.708391,-0.609817088,-0.112510003,0.016496981,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147480011,3.000000000,0.000000000,0.000000000,2.665062189,0.151567966,0.166464612,0.094523959,0.055454724,0.463177562,1.000000000,19.000000000,0.000271495,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063828,1764161898683613.000000000,1764161898675613.000000000,-2.152869225,1.000000000,1.000000000,-2.992225885,3.000000000,2.621882439,0.048294932,2.000000000,27.775806427,1.000000000,4.000000000,1.000000000,-4.514157295,-10.002779007,0.023117244,1.000000000,3.000000000,1.000000000
1764161898.720625,-0.530562460,-0.097329251,0.015679745,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146821022,3.000000000,0.000000000,0.000000000,2.668747902,0.152437702,0.166992992,0.095193289,0.055621266,0.466601104,1.000000000,19.000000000,0.000271570,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063926,1764161898699613.000000000,1764161898691613.000000000,-2.149499416,1.000000000,1.000000000,-3.000794172,3.000000000,2.620514870,0.048352860,2.000000000,27.728044510,1.000000000,4.000000000,1.000000000,-4.472024441,-10.002637863,0.022957139,1.000000000,3.000000000,1.000000000
1764161898.729340,-0.510935903,-0.092312515,0.017343553,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147877693,3.000000000,0.000000000,0.000000000,2.670591831,0.151089251,0.166085452,0.093941405,0.055333119,0.468320310,1.000000000,19.000000000,0.000269337,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063671,1764161898707613.000000000,1764161898699613.000000000,-2.147807360,1.000000000,1.000000000,-3.004659414,3.000000000,2.619938135,0.048343524,2.000000000,27.704212189,1.000000000,4.000000000,1.000000000,-4.450925827,-10.002598763,0.022806589,1.000000000,3.000000000,1.000000000
1764161898.741131,-0.478700250,-0.084499389,0.017012468,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147549629,3.000000000,0.000000000,0.000000000,2.672436237,0.151518777,0.166348234,0.094271943,0.055415984,0.470059067,1.000000000,19.000000000,0.000269374,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063720,1764161898715613.000000000,1764161898707613.000000000,-2.146101713,1.000000000,1.000000000,-3.008273125,3.000000000,2.619419575,0.048335850,2.000000000,27.680349350,1.000000000,4.000000000,1.000000000,-4.429833889,-10.002550125,0.022669142,1.000000000,3.000000000,1.000000000
1764161898.748826,-0.433213085,-0.086143605,0.012730713,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147219658,3.000000000,0.000000000,0.000000000,2.674281359,0.151951462,0.166611806,0.094601825,0.055498570,0.471816003,1.000000000,19.000000000,0.000269412,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063768,1764161898723613.000000000,1764161898715613.000000000,-2.144378185,1.000000000,1.000000000,-3.011528969,3.000000000,2.618883848,0.048298109,2.000000000,27.656457901,1.000000000,4.000000000,1.000000000,-4.408748150,-10.002493858,0.022512706,1.000000000,3.000000000,1.000000000
1764161898.761830,-0.406645864,-0.086728334,0.010633375,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146887779,3.000000000,0.000000000,0.000000000,2.676127195,0.152387351,0.166876167,0.094931096,0.055580895,0.473575294,1.000000000,19.000000000,0.000269450,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063817,1764161898731613.000000000,1764161898723613.000000000,-2.142652273,1.000000000,1.000000000,-3.014578342,3.000000000,2.618339300,0.048247658,2.000000000,27.632541656,1.000000000,4.000000000,1.000000000,-4.387669086,-10.002429008,0.022354290,1.000000000,3.000000000,1.000000000
1764161898.768873,-0.333837628,-0.075237945,0.009167007,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147205353,3.000000000,0.000000000,0.000000000,2.679820538,0.151470512,0.166418985,0.094012156,0.055396963,0.477130175,1.000000000,19.000000000,0.000267349,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063613,1764161898747613.000000000,1764161898739613.000000000,-2.139170885,1.000000000,1.000000000,-3.019600630,3.000000000,2.617514610,0.048153672,2.000000000,27.584869385,1.000000000,4.000000000,1.000000000,-4.345416546,-10.002337456,0.022007938,1.000000000,3.000000000,1.000000000
1764161898.781419,-0.305281609,-0.069392592,0.006725546,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146874428,3.000000000,0.000000000,0.000000000,2.681668043,0.151902631,0.166682616,0.094336592,0.055478688,0.478921443,1.000000000,19.000000000,0.000267388,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063662,1764161898755613.000000000,1764161898747613.000000000,-2.137419462,1.000000000,1.000000000,-3.021733284,3.000000000,2.617143631,0.048055712,2.000000000,27.561002731,1.000000000,4.000000000,1.000000000,-4.324300289,-10.002280235,0.021800268,1.000000000,3.000000000,1.000000000
1764161898.790153,-0.272599220,-0.058222286,0.007953960,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146540642,3.000000000,0.000000000,0.000000000,2.683516026,0.152337909,0.166947037,0.094660401,0.055560108,0.480727881,1.000000000,19.000000000,0.000267426,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063710,1764161898763613.000000000,1764161898755613.000000000,-2.135652781,1.000000000,1.000000000,-3.023612976,3.000000000,2.616857290,0.047971979,2.000000000,27.537115097,1.000000000,4.000000000,1.000000000,-4.303189278,-10.002214432,0.021617360,1.000000000,3.000000000,1.000000000
1764161898.801534,-0.209698260,-0.054184817,-0.005661044,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147345543,3.000000000,0.000000000,0.000000000,2.687213659,0.151423097,0.166303068,0.093744986,0.055353522,0.484368145,1.000000000,19.000000000,0.000265421,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063508,1764161898779613.000000000,1764161898771613.000000000,-2.132098675,1.000000000,1.000000000,-3.026340246,3.000000000,2.616380453,0.047533516,2.000000000,27.489542007,1.000000000,4.000000000,1.000000000,-4.260874748,-10.002156258,0.020911764,1.000000000,3.000000000,1.000000000
1764161898.810673,-0.170679465,-0.045011267,-0.001983251,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147015572,3.000000000,0.000000000,0.000000000,2.689063072,0.151854619,0.166566476,0.094064869,0.055434458,0.486205935,1.000000000,19.000000000,0.000265460,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063556,1764161898787613.000000000,1764161898779613.000000000,-2.130307436,1.000000000,1.000000000,-3.027297974,3.000000000,2.616228580,0.047349550,2.000000000,27.465732574,1.000000000,4.000000000,1.000000000,-4.239726067,-10.002117157,0.020611245,1.000000000,3.000000000,1.000000000
1764161898.822388,-0.139844105,-0.041257866,0.001104548,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146682739,3.000000000,0.000000000,0.000000000,2.690912962,0.152289271,0.166830659,0.094384544,0.055515140,0.488046497,1.000000000,19.000000000,0.000265499,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063605,1764161898795613.000000000,1764161898787613.000000000,-2.128513098,1.000000000,1.000000000,-3.028019905,3.000000000,2.616101742,0.047195140,2.000000000,27.441913605,1.000000000,4.000000000,1.000000000,-4.218582630,-10.002070427,0.020351170,1.000000000,3.000000000,1.000000000
1764161898.830135,-0.107034013,-0.035241667,-0.009700189,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147288322,3.000000000,0.000000000,0.000000000,2.692763329,0.150948733,0.166111439,0.093157895,0.055249762,0.489902079,1.000000000,19.000000000,0.000263550,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063356,1764161898803613.000000000,1764161898795613.000000000,-2.126703024,1.000000000,1.000000000,-3.028339863,3.000000000,2.616055250,0.046926353,2.000000000,27.418220520,1.000000000,4.000000000,1.000000000,-4.197396755,-10.002046585,0.019954016,1.000000000,3.000000000,1.000000000
1764161898.842459,-0.034400668,-0.025676649,-0.012636184,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146633148,3.000000000,0.000000000,0.000000000,2.696465015,0.151807442,0.166637585,0.093789682,0.055410124,0.493640244,1.000000000,19.000000000,0.000263629,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063453,1764161898819613.000000000,1764161898811613.000000000,-2.123072624,1.000000000,1.000000000,-3.028125286,3.000000000,2.616076708,0.046451431,2.000000000,27.370811462,1.000000000,4.000000000,1.000000000,-4.155039310,-10.001979828,0.019255945,1.000000000,3.000000000,1.000000000
1764161898.849961,-0.003163935,-0.019412246,-0.012441072,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146689415,3.000000000,0.000000000,0.000000000,2.698316574,0.152241424,0.166714102,0.094105005,0.055467758,0.495527625,1.000000000,19.000000000,0.000263668,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063501,1764161898827613.000000000,1764161898819613.000000000,-2.121238232,1.000000000,1.000000000,-3.027656794,3.000000000,2.616140366,0.046174314,2.000000000,27.347101212,1.000000000,4.000000000,1.000000000,-4.133867741,-10.001949310,0.018870758,1.000000000,3.000000000,1.000000000
1764161898.862792,0.024561042,-0.021041792,-0.008752569,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146359444,3.000000000,0.000000000,0.000000000,2.700168371,0.152678549,0.166978821,0.094420262,0.055547331,0.497406960,1.000000000,19.000000000,0.000263708,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063549,1764161898835613.000000000,1764161898827613.000000000,-2.119411230,1.000000000,1.000000000,-3.026980162,3.000000000,2.616185665,0.045931838,2.000000000,27.323389053,1.000000000,4.000000000,1.000000000,-4.112699986,-10.001912117,0.018530924,1.000000000,3.000000000,1.000000000
1764161898.869940,0.058215939,-0.021591868,0.000829808,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.147392273,3.000000000,0.000000000,0.000000000,2.702020645,0.151322752,0.166256875,0.093185976,0.055280387,0.499295175,1.000000000,19.000000000,0.000261847,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063298,1764161898843613.000000000,1764161898835613.000000000,-2.117574930,1.000000000,1.000000000,-3.025871992,3.000000000,2.616238594,0.045730937,2.000000000,27.299839020,1.000000000,4.000000000,1.000000000,-4.091507912,-10.001913071,0.018195515,1.000000000,3.000000000,1.000000000
1764161898.882225,0.132232979,-0.009801886,-0.004940666,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146746635,3.000000000,0.000000000,0.000000000,2.705725193,0.152186140,0.166784078,0.093809523,0.055438630,0.503110766,1.000000000,19.000000000,0.000261927,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063394,1764161898859613.000000000,1764161898851613.000000000,-2.113883257,1.000000000,1.000000000,-3.022815228,3.000000000,2.616467953,0.045261640,2.000000000,27.252742767,1.000000000,4.000000000,1.000000000,-4.049136639,-10.001893044,0.017491814,1.000000000,3.000000000,1.000000000
1764161898.890795,0.161840543,-0.004621266,-0.011730473,0.000000000,-0.251264662,-0.285143584,-0.008502826,-0.010987740,0.006643715,0.004897114,-0.009492125,-0.251264662,10.146422386,3.000000000,0.000000000,0.000000000,2.707577944,0.152622446,0.167048842,0.094120845,0.055517353,0.505025744,1.000000000,19.000000000,0.000261968,0.251355231,47.397971131,8.546163744,4148000.000000000,0.000063442,1764161898867613.000000000,1764161898859613.000000000,-2.112029314,1.000000000,1.000000000,-3.020929337,3.000000000,2.616641521,0.044977710,2.000000000,27.229202271,1.000000000,4.000000000,1.000000000,-4.027956963,-10.001873016,0.017107258,1.000000000,3.000000000,1.000000000
